; File generated by rgblink
00:0061 DisableLCD
00:0dda CopyToRedrawRowOrColumnSrcTiles
00:0ddf CopyToRedrawRowOrColumnSrcTiles.loop
00:0de6 ScheduleSouthRowRedraw
00:0e07 ScheduleEastColumnRedraw
00:0e26 ScheduleColumnRedrawHelper
00:0e2b ScheduleColumnRedrawHelper.loop
00:0e38 ScheduleColumnRedrawHelper.noCarry
00:0e3c ScheduleWestColumnRedraw
00:0e51 DrawTileBlock
00:0e75 DrawTileBlock.loop
00:0e8f JoypadOverworld
00:0eb4 JoypadOverworld.notForcedDownwards
00:0ed3 JoypadOverworld.noCarry
00:0edd JoypadOverworld.doneSimulating
00:0ef6 CollisionCheckOnWater
00:0f24 CollisionCheckOnWater.checkIfNextTileIsPassable
00:0f2a CollisionCheckOnWater.loop
00:0f34 CollisionCheckOnWater.collision
00:0f34 CollisionCheckOnWater.setCarry
00:0f37 CollisionCheckOnWater.noCollision
00:0f38 CollisionCheckOnWater.done
00:0f39 CollisionCheckOnWater.stopSurfing
00:0f45 CollisionCheckOnWater.checkIfVermilionDockTileset
00:0f4e RunMapScript
00:0f68 RunMapScript.afterBoulderEffect
00:0f7f RunMapScript.return
00:0f80 LoadWalkingPlayerSpriteGraphics
00:0f8a LoadSurfingPlayerSpriteGraphics
00:0f94 LoadBikePlayerSpriteGraphics
00:0f9c LoadPlayerSpriteGraphicsCommon
00:0fb0 LoadPlayerSpriteGraphicsCommon.noCarry
00:0fb8 LoadPlayerSpriteGraphicsCommon.isfemaletrainer
00:0fc7 LoadPlayerSpriteGraphicsCommon.donefemale
00:0fc8 LoadMapHeader
00:0fef LoadMapHeader.noCarry1
00:0ff4 LoadMapHeader.noCarry2
00:0ffc LoadMapHeader.copyFixedHeaderLoop
00:1014 LoadMapHeader.checkNorth
00:101e LoadMapHeader.checkSouth
00:1028 LoadMapHeader.checkWest
00:1032 LoadMapHeader.checkEast
00:103c LoadMapHeader.getObjectDataPointer
00:1052 LoadMapHeader.loadWarpData
00:105d LoadMapHeader.warpLoop
00:105f LoadMapHeader.warpInnerLoop
00:1068 LoadMapHeader.loadSignData
00:107c LoadMapHeader.signLoop
00:1096 LoadMapHeader.loadSpriteData
00:10ac LoadMapHeader.zeroSpriteDataLoop
00:10ba LoadMapHeader.disableSpriteEntriesLoop
00:10ce LoadMapHeader.loadSpriteLoop
00:1102 LoadMapHeader.trainerSprite
00:1116 LoadMapHeader.itemBallSprite
00:1126 LoadMapHeader.regularSprite
00:112f LoadMapHeader.nextSprite
00:113b LoadMapHeader.finishUp
00:117b CopyMapConnectionHeader
00:117d CopyMapConnectionHeader.loop
00:1184 LoadMapData
00:11c3 LoadMapData.vramCopyLoop
00:11d1 LoadMapData.noCarry
00:11f7 LoadMapData.restoreRomBank
00:11fe SwitchToMapRomBank
00:121c IgnoreInputForHalfSecond
00:1229 ResetUsingStrengthOutOfBattleBit
00:122f ForceBikeOrSurf
00:123a Check60fps
00:1240 CheckForSpinAndDelay
00:124c CheckForSpinAndDelay.noSpinning
00:1250 PlayThudAndLoop
00:125c PlayThudAndLoop.jump
00:125f ReloadMapAfterPrinter
00:1270 CheckForUserInterruption
00:1289 CheckForUserInterruption.input
00:128b LoadDestinationWarpPosition
00:12ae DrawHPBar
00:12ba DrawHPBar.draw
00:12c7 DrawHPBar.ok
00:12d3 DrawHPBar.fill
00:12e2 DrawHPBar.partial
00:12e6 DrawHPBar.done
00:12ea LoadMonData
00:12f2 LoadFlippedFrontSpriteByMonIndex
00:12f7 LoadFrontSpriteByMonIndex
00:1315 LoadFrontSpriteByMonIndex.invalidDexNumber
00:131b LoadFrontSpriteByMonIndex.validDexNumber
00:133e PlayCry
00:1347 GetCryData
00:136a DisplayPartyMenu
00:137f GoBackToPartyMenu
00:138e PartyMenuInit
00:13b6 PartyMenuInit.storeMaxMenuItemID
00:13c4 PartyMenuInit.next
00:13c8 HandlePartyMenuInput
00:1415 HandlePartyMenuInput.noPokemonChosen
00:141a HandlePartyMenuInput.swappingPokemon
00:141e HandlePartyMenuInput.cancelSwap
00:1432 HandlePartyMenuInput.handleSwap
00:1442 DrawPartyMenu
00:1447 RedrawPartyMenu
00:144a DrawPartyMenuCommon
00:144f PrintStatusCondition
00:1464 PrintStatusConditionNotFainted
00:1479 PrintLevel
00:1479 PrintLevelFull
00:1481 PrintLevelCommon
00:148c GetMonHeader
00:14de GetMonHeader.specialID
00:14f1 GetMonHeader.missingno
00:14ff GetMonHeader.done
00:1513 GetPartyMonName2
00:1519 GetPartyMonName
00:152c PrintBCDNumber
00:153e PrintBCDNumber.loop
00:1550 PrintBCDNumber.numberEqualsZero
00:1555 PrintBCDNumber.skipRightAlignmentAdjustment
00:155c PrintBCDNumber.skipCurrencySymbol
00:1562 PrintBCDNumber.done
00:1563 PrintBCDDigit
00:1568 PrintBCDDigit.nonzeroDigit
00:1575 PrintBCDDigit.skipCurrencySymbol
00:1577 PrintBCDDigit.outputDigit
00:157d PrintBCDDigit.zeroDigit
00:1586 UncompressMonSprite
00:15a6 UncompressMonSprite.bankFossilOrGhost
00:15a8 UncompressMonSprite.GotBank
00:15ab LoadMonFrontSprite
00:15b8 LoadUncompressedSpriteData
00:1608 AlignSpriteDataCentered
00:1610 AlignSpriteDataCentered.columnLoop
00:1615 AlignSpriteDataCentered.columnInnerLoop
00:1625 ZeroSpriteBuffer
00:1628 ZeroSpriteBuffer.nextByteLoop
00:1630 InterlaceMergeSpriteBuffers
00:1642 InterlaceMergeSpriteBuffers.interlaceLoop
00:1661 InterlaceMergeSpriteBuffers.swapLoop
00:1669 InterlaceMergeSpriteBuffers.notFlipped
00:1675 Underground_Coll
00:167b Overworld_Coll
00:168f RedsHouse1_Coll
00:168f RedsHouse2_Coll
00:1699 Mart_Coll
00:1699 Pokecenter_Coll
00:169f Dojo_Coll
00:169f Gym_Coll
00:16ab Forest_Coll
00:16bb House_Coll
00:16c5 ForestGate_Coll
00:16c5 Museum_Coll
00:16c5 Gate_Coll
00:16d0 Ship_Coll
00:16db ShipPort_Coll
00:16e0 Cemetery_Coll
00:16e8 Interior_Coll
00:16f2 Cavern_Coll
00:16fe Lobby_Coll
00:1706 Mansion_Coll
00:1710 Lab_Coll
00:1717 Club_Coll
00:1723 Facility_Coll
00:1736 Plateau_Coll
00:173d FarCopyData2
00:1753 FarCopyData3
00:1771 FarCopyDataDouble
00:177d FarCopyDataDouble.loop
00:178e CopyVideoData
00:17aa CopyVideoData.loop
00:17af CopyVideoData.done
00:17bf CopyVideoData.keepgoing
00:17cc CopyVideoDataDouble
00:17e8 CopyVideoDataDouble.loop
00:17ed CopyVideoDataDouble.done
00:17fd CopyVideoDataDouble.keepgoing
00:180a ClearScreenArea
00:180f ClearScreenArea.y
00:1811 ClearScreenArea.x
00:181c CopyScreenTileBufferToVRAM
00:1842 CopyScreenTileBufferToVRAM.setup
00:1855 ClearScreen
00:185e ClearScreen.loop
00:1868 TextBoxBorder
00:1877 TextBoxBorder.next
00:1895 NPlaceChar
00:1896 NPlaceChar.loop
00:189b PlaceString
00:189c PlaceNextChar
00:18a5 Char4ETest
00:18b6 Char4ETest.line_feed
00:18b9 Char4ETest.ok
00:18bf Char4ETest.char4FTest
00:18cb Char4ETest.next3
00:1932 PlaceNextChar_inc
00:1936 Char00
00:193e Char00Text
00:1943 Char52
00:1949 Char53
00:194f Char5D
00:1955 Char5C
00:195b Char5B
00:1961 Char5E
00:1967 Char54
00:196d Char56
00:1973 Char4A
00:1979 Char59
00:197f Char5A
00:1981 MonsterNameCharsCommon
00:198a MonsterNameCharsCommon.Enemy
00:1995 FinishDTE
00:199f Char5CText
00:19a2 Char5DText
00:19aa Char5BText
00:19ad Char5EText
00:19b4 Char54Text
00:19b9 Char56Text
00:19bc Char5AText
00:19c3 Char4AText
00:19c6 Char55
00:19d6 Char55Text
00:19db Char5F
00:19df Char58
00:19ec Char58.ok
00:19f7 Char57
00:19fd Char58Text
00:19fe Char51
00:1a1f Char49
00:1a2a Char49.Char49
00:1a4d Char4B
00:1a61 Char4C
00:1a66 Char4C.nodelay
00:1a74 ScrollTextUpOneLine
00:1a7c ScrollTextUpOneLine.copyText
00:1a89 ScrollTextUpOneLine.clearText
00:1a8f ScrollTextUpOneLine.WaitFrame
00:1a96 ProtectedDelay3
00:1a9c TextCommandProcessor
00:1ab1 NextTextCommand
00:1abb NextTextCommand.doTextCommand
00:1ad4 TextCommand04
00:1ae6 TextCommand00
00:1af3 TextCommand01
00:1b01 TextCommand02
00:1b13 TextCommand03
00:1b21 TextCommand05
00:1b28 TextCommand06
00:1b43 TextCommand07
00:1b55 TextCommand08
00:1b5b TextCommand09
00:1b79 TextCommand0A
00:1b88 TextCommand0A.skipDelay
00:1b8d TextCommand0B
00:1b96 TextCommand0B.loop
00:1b9d TextCommand0B.matchFound
00:1bad TextCommand0B.playnormally
00:1bb9 TextCommand0B.finishnormally
00:1bbe TextCommand0B.pokemonCry
00:1bc9 TextCommand0B.keyitem
00:1bdb TextCommand0B.musicWaitLoop
00:1be4 TextCommandSounds
00:1bf8 TextCommand0C
00:1bfe TextCommand0C.loop
00:1c11 TextCommand0C.skipDelay
00:1c1a TextCommand0D
00:1c23 TextCommand17
00:1c41 TextCommandJumpTable
00:1c5d GetRowColAddressBgMap
00:1c70 ClearBgMap
00:1c75 ClearBgMap.next
00:1c79 ClearBgMap.loop
00:1c81 RedrawRowOrColumn
00:1c93 RedrawRowOrColumn.redrawColumn
00:1c9e RedrawRowOrColumn.loop1
00:1caa RedrawRowOrColumn.noCarry
00:1cb7 RedrawRowOrColumn.redrawRow
00:1cc9 RedrawRowOrColumn.DrawHalf
00:1ccb RedrawRowOrColumn.loop2
00:1cde AutoBgMapTransfer
00:1cf2 AutoBgMapTransfer.transferBottomThird
00:1d03 AutoBgMapTransfer.transferTopThird
00:1d11 AutoBgMapTransfer.transferMiddleThird
00:1d21 AutoBgMapTransfer.doTransfer
00:1d25 TransferBgRows
00:1d5d TransferBgRows.ok
00:1d68 VBlankCopyBgMap
00:1d89 VBlankCopyDouble
00:1da8 VBlankCopyDouble.loop
00:1de5 VBlankCopy
00:1e04 VBlankCopy.loop
00:1e45 UpdateMovingBgTiles
00:1e6c UpdateMovingBgTiles.right
00:1e74 UpdateMovingBgTiles.left
00:1e7a UpdateMovingBgTiles.done
00:1e82 UpdateMovingBgTiles.flower
00:1e99 UpdateMovingBgTiles.copy
00:1e9e UpdateMovingBgTiles.loop
00:1ea5 FlowerTile1
00:1eb5 FlowerTile2
00:1ec5 FlowerTile3
00:1ed5 SoftReset
00:1ee0 Init
00:1f0c Init.loop
00:1fbf Init.inc_a
00:1fc1 ClearVram
00:1fcb StopAllSounds
00:1fe0 VBlank
00:1ff4 VBlank.no_delay_bank
00:2006 VBlank.ok
00:201e VBlank.skipBGMap
00:2027 VBlank.skipOAM
00:2032 VBlank.skipZeroing
00:203a VBlank.skipDec
00:206c VBlank.skip_GBCEnhancedRedrawRowOrColumn
00:2079 DelayFrame
00:208f DelayFrame.halt
00:2097 DelayFrame.lcd_off
00:209b home_PrepareOAMData
00:20b4 home_PrepareOAMData.skipOAM
00:20b8 LoadGBPal
00:20c5 LoadGBPal.ok
00:20d8 GBFadeInFromBlack
00:20f0 GBFadeOutToWhite
00:2106 GBFadeIncCommon
00:2108 GBFadeIncCommon.delayset
00:2121 GBFadeOutToBlack
00:2139 GBFadeInFromWhite
00:214f GBFadeDecCommon
00:2151 GBFadeDecCommon.delayset
00:216a FadePal1
00:216d FadePal2
00:2170 FadePal3
00:2173 FadePal4
00:2176 FadePal5
00:2179 FadePal6
00:217c FadePal7
00:217f FadePal8
00:2182 Serial
00:21a7 Serial.connectionNotYetEstablished
00:21b8 Serial.waitLoop
00:21c4 Serial.usingInternalClock
00:21c7 Serial.done
00:21d4 Serial_ExchangeBytes
00:21d8 Serial_ExchangeBytes.loop
00:21e3 Serial_ExchangeBytes.waitLoop
00:21f7 Serial_ExchangeBytes.storeReceivedByte
00:21ff Serial_ExchangeByte
00:220c Serial_ExchangeByte.loop
00:2228 Serial_ExchangeByte.noCarry
00:2231 Serial_ExchangeByte.doNotIncrementUnknownCounter
00:2253 Serial_ExchangeByte.waitLoop
00:2256 Serial_ExchangeByte.ok
00:2269 Serial_ExchangeByte.skipReloadingUnknownCounter2
00:227e Serial_ExchangeByte.noBorrow
00:2284 Serial_ExchangeByte.done
00:2296 WaitLoop_15Iterations
00:2298 WaitLoop_15Iterations.waitLoop
00:229c IsUnknownCounterZero
00:22a4 SetUnknownCounterToFFFF
00:22ac Serial_ExchangeLinkMenuSelection
00:22b8 Serial_ExchangeLinkMenuSelection.loop
00:22d3 Serial_PrintWaitingTextAndSyncAndExchangeNybble
00:22e4 Serial_SyncAndExchangeNybble
00:22e9 Serial_SyncAndExchangeNybble.loop1
00:2304 Serial_SyncAndExchangeNybble.next2
00:2305 Serial_SyncAndExchangeNybble.next1
00:230d Serial_SyncAndExchangeNybble.loop2
00:2318 Serial_SyncAndExchangeNybble.loop3
00:2328 Serial_ExchangeNybble
00:233c Serial_ExchangeNybble.doExchange
00:2352 Serial_SendZeroByte
00:235f Serial_TryEstablishingExternallyClockedConnection
00:236b PrinterSerial_RetI
00:2373 PrinterSerial
00:2387 SerialFunction
00:23ae Timer
00:23af PlayDefaultMusic
00:23ba PlayDefaultMusicFadeOutCurrent
00:23cc PlayDefaultMusicCommon
00:23da PlayDefaultMusicCommon.surfing
00:23dc PlayDefaultMusicCommon.next
00:23e6 PlayDefaultMusicCommon.next2
00:23eb PlayDefaultMusicCommon.walking
00:23f4 PlayDefaultMusicCommon.next3
00:23f9 PlayDefaultMusicCommon.next4
00:2407 UpdateMusic6Times
00:2409 UpdateMusicCTimes.loop
00:2409 UpdateMusicCTimes
00:2419 CompareMapMusicBankWithCurrentBank
00:2428 CompareMapMusicBankWithCurrentBank.differentBanks
00:2430 CompareMapMusicBankWithCurrentBank.next
00:2435 PlayMusic
00:2448 StopAllMusic
00:2453 PlaySound
00:2477 PlaySound.next
00:2492 PlaySound.noFadeOut
00:249b PlaySound.fadeOut
00:24ac PlaySound.done
00:24b0 GetNextMusicByte
00:24d2 InitMusicVariables
00:24ec InitSFXVariables
00:2506 StopAllAudio
00:2520 DetermineAudioFunction
00:2533 DetermineAudioFunction.checkForBankAudio2
00:253d DetermineAudioFunction.checkForBankAudio3
00:2547 DetermineAudioFunction.bankAudio4
00:254b DetermineAudioFunction.done
00:2550 UpdateSprites
00:2573 ViridianCashierText
00:257c PewterCashierText
00:2589 CeruleanCashierText
00:259a VermilionCashierText
00:25a5 LavenderCashierText
00:25b6 CeladonMart2Clerk1Text
00:25c2 CeladonMart2Clerk2Text
00:25ce CeladonMart4ClerkText
00:25d6 CeladonMart5Clerk1Text
00:25e0 CeladonMart5Clerk2Text
00:25ec FuchsiaCashierText
00:25fb CeladonMart3ClerkText
00:2606 CinnabarCashierText
00:2617 SaffronCashierText
00:2625 IndigoCashierText
00:2636 DrinkStandText
00:263c TextScriptEndingChar
00:263d TextScriptEnd
00:2641 ExclamationText
00:2646 GroundRoseText
00:264b BoulderText
00:2650 MartSignText
00:2655 PokeCenterSignText
00:265a PickUpItemText
00:2663 UncompressSpriteData
00:2680 _UncompressSpriteData
00:26a8 _UncompressSpriteData.skip1
00:26b6 _UncompressSpriteData.skip2
00:26c2 UncompressSpriteDataLoop
00:26cf UncompressSpriteDataLoop.useSpriteBuffer1
00:26e3 UncompressSpriteDataLoop.unpackingMode0
00:26e6 UncompressSpriteDataLoop.startDecompression
00:26ec UncompressSpriteDataLoop.readNextInput
00:2701 UncompressSpriteDataLoop.readRLEncodedZeros
00:2703 UncompressSpriteDataLoop.countConsecutiveOnesLoop
00:270c UncompressSpriteDataLoop.countConsecutiveOnesFinished
00:2716 UncompressSpriteDataLoop.noCarry
00:271e UncompressSpriteDataLoop.readNumberOfZerosLoop
00:272c UncompressSpriteDataLoop.readNumberOfZerosDone
00:2730 UncompressSpriteDataLoop.writeZerosLoop
00:2740 UncompressSpriteDataLoop.continueLoop
00:2744 MoveToNextBufferPosition
00:2762 MoveToNextBufferPosition.curColumnDone
00:277c MoveToNextBufferPosition.bitOffsetsDone
00:279c MoveToNextBufferPosition.allColumnsDone
00:27b2 MoveToNextBufferPosition.done
00:27b5 WriteSpriteBitsToBuffer
00:27c8 WriteSpriteBitsToBuffer.offset1
00:27ce WriteSpriteBitsToBuffer.offset2
00:27d0 WriteSpriteBitsToBuffer.offset0
00:27dc ReadNextInputBit
00:27ea ReadNextInputBit.curByteHasMoreBitsToRead
00:27f7 ReadNextInputByte
00:280b LengthEncodingOffsetList
00:282b UnpackSprite
00:2840 SpriteDifferentialDecode
00:2858 SpriteDifferentialDecode.notFlipped
00:285e SpriteDifferentialDecode.storeDecodeTablesPointers
00:2870 SpriteDifferentialDecode.decodeNextByteLoop
00:289d SpriteDifferentialDecode.noCarry
00:28d4 SpriteDifferentialDecode.done
00:28d9 DifferentialDecodeNybble
00:28e1 DifferentialDecodeNybble.evenNumber
00:28ec DifferentialDecodeNybble.notFlipped
00:28ee DifferentialDecodeNybble.selectLookupTable
00:28fa DifferentialDecodeNybble.initialValue1
00:2901 DifferentialDecodeNybble.tableLookup
00:2908 DifferentialDecodeNybble.noCarry
00:290f DifferentialDecodeNybble.selectLowNybble
00:2913 DecodeNybble0Table
00:291b DecodeNybble1Table
00:2923 DecodeNybble0TableFlipped
00:292b DecodeNybble1TableFlipped
00:2933 XorSpriteChunks
00:295b XorSpriteChunks.xorChunksLoop
00:2977 XorSpriteChunks.notFlipped
00:29a3 ReverseNybble
00:29ab ReverseNybble.noCarry
00:29ad ResetSpriteBufferPointers
00:29bc ResetSpriteBufferPointers.buffer2Selected
00:29c2 ResetSpriteBufferPointers.storeBufferPointers
00:29d3 NybbleReverseTable
00:29e3 UnpackSpriteMode2
00:2a03 StoreSpriteOutputPointer
00:2a12 ResetPlayerSpriteData
00:2a30 ResetPlayerSpriteData_ClearSpriteData
00:2a37 FadeOutAudio
00:2a48 FadeOutAudio.fadingOut
00:2a53 FadeOutAudio.counterReachedZero
00:2a6f FadeOutAudio.fadeOutComplete
00:2a87 DisplayTextID
00:2aa1 DisplayTextID.skipSwitchToMapBank
00:2ada DisplayTextID.spriteHandling
00:2ae7 DisplayTextID.noCarry
00:2aea DisplayTextID.skipSpriteHandling
00:2b1a DisplayTextID.notVendingMachine
00:2b2d DisplayTextID.notSpecialCase
00:2b36 AfterDisplayingTextID
00:2b41 HoldTextDisplayOpen
00:2b4a CloseTextDisplay
00:2b70 CloseTextDisplay.restoreSpriteFacingDirectionLoop
00:2b98 DisplayPokemartDialogue
00:2bbf PokemartGreetingText
00:2bc4 RematchTrainerText
00:2bc9 LoadItemList
00:2bd9 LoadItemList.loop
00:2be1 DisplayPokemonCenterDialogue
00:2bff DisplaySafariGameOverText
00:2c0a DisplayPokemonFaintedText
00:2c13 PokemonFaintedText
00:2c18 DisplayPlayerBlackedOutText
